MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2443767	Aaas	achalasia, adrenocortical insufficiency, alacrimia	15		learning			IMP	MGI:3621812 	J:106908 	
MGI:87855	Aal	active avoidance learning	1		associative learning			IMP	MGI:1889306 	J:5380 	
MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	10		memory			IMP		J:196282 	
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	7		memory			ISO	RGD:3786 	J:155856 	
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	7		visual learning			ISO	RGD:3786 	J:155856 	
MGI:106913	Abi2	abl-interactor 2	1		learning or memory			IMP	MGI:3526871 	J:95254 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		learning			IMP	MGI:2153719 	J:153211 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		visual learning			IGI	MGI:96610 	J:182501 	
MGI:1340894	Adam2	a disintegrin and metallopeptidase domain 2	14		visual learning			IMP	MGI:3625523 	J:107127 	
MGI:99677	Adcy1	adenylate cyclase 1	11		long-term memory			IGI	MGI:2176596 	J:57343 	
MGI:99675	Adcy3	adenylate cyclase 3	12		olfactory learning			IMP		J:64745 	
MGI:1341110	Adcy8	adenylate cyclase 8	15		long-term memory			IGI	MGI:99677 	J:57343 	
MGI:1341110	Adcy8	adenylate cyclase 8	15		memory			IMP		J:134966 	
MGI:2441837	Adgrb3	adhesion G protein-coupled receptor B3	1		motor learning			IGI	MGI:1344400 	J:219706 	
MGI:1924846	Adgrf1	adhesion G protein-coupled receptor F1	17		memory			IMP	MGI:4362398 	J:240496 	
MGI:1338758	Adnp	activity-dependent neuroprotective protein	2		short-term memory			ISO	RGD:71030 	J:155856 	
MGI:104774	Adra1b	adrenergic receptor, alpha 1b	11		visual learning			IMP	MGI:2148638 	J:68177 	
MGI:87937	Adrb1	adrenergic receptor, beta 1	19		memory			ISO	RGD:2059 	J:155856 	
MGI:87938	Adrb2	adrenergic receptor, beta 2	18		associative learning			ISO	RGD:2060 	J:155856 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		learning or memory			IMP	MGI:2182641 	J:76005 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		learning or memory			ISO	Q15109 	J:164563 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		associative learning			ISO	RGD:2069 	J:155856 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		operant conditioning			ISO	RGD:2069 	J:155856 	
MGI:103574	Amph	amphiphysin	13		learning			IMP	MGI:2388118 	J:75306 	
MGI:1889383	Ap1s2	adaptor-related protein complex 1, sigma 2 subunit	X		visual learning			IMP	MGI:5620801 	J:218588 	
MGI:107765	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	7		visual learning		PR:Q9QXJ1-1	IMP	MGI:3514266 	J:94887 	
MGI:88057	Apoe	apolipoprotein E	7		long-term memory			ISO	P02649 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		associative learning			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		learning			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		learning or memory			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		memory			ISO	P05067 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		memory			TAS		J:239203 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		visual learning			IMP	MGI:2136847 	J:57197 	
MGI:88067	Arc	activity regulated cytoskeletal-associated protein	15		long-term memory			IMP		J:276388 	
MGI:88067	Arc	activity regulated cytoskeletal-associated protein	15		long-term memory			ISO	RGD:62037 	J:155856 	
MGI:99433	Arf4	ADP-ribosylation factor 4	14		learning			IMP	MGI:3879059 	J:192108 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		associative learning			IMP	MGI:2179834 	J:76361 	
MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	15		memory			IMP	MGI:2179834 	J:76361 	
MGI:1915229	Atad1	ATPase family, AAA domain containing 1	19		learning			IMP		J:173768 	
MGI:1915229	Atad1	ATPase family, AAA domain containing 1	19		memory			IMP		J:173768 	
