MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		meiotic DNA double-strand break processing involved in reciprocal meiotic recombination			IBA	PTN002860233 	J:265628 	
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		meiotic DNA double-strand break processing involved in reciprocal meiotic recombination			IMP		J:238491 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1917931	Abraxas1	BRCA1 A complex subunit	5		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1917931	Abraxas1	BRCA1 A complex subunit	5		double-strand break repair			ISO	Q6UWZ7 	J:164563 	
MGI:1917931	Abraxas1	BRCA1 A complex subunit	5		positive regulation of DNA repair			ISO	Q6UWZ7 	J:164563 	
MGI:1861453	Actl6a	actin-like 6A	3		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1913963	Actr2	ARP2 actin-related protein 2	11		positive regulation of double-strand break repair via homologous recombination			ISO	P61160 	J:164563 	
MGI:1924748	Actr5	ARP5 actin-related protein 5	2		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1924748	Actr5	ARP5 actin-related protein 5	2		double-strand break repair			IBA	PTN000233752 	J:265628 	
MGI:1924748	Actr5	ARP5 actin-related protein 5	2		double-strand break repair			ISO	Q9H9F9 	J:164563 	
MGI:1924748	Actr5	ARP5 actin-related protein 5	2		UV-damage excision repair			ISO	Q9H9F9 	J:164563 	
MGI:1860775	Actr8	ARP8 actin-related protein 8	14		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1860775	Actr8	ARP8 actin-related protein 8	14		double-strand break repair			IBA	PTN000234048 	J:265628 	
MGI:2140364	Adprhl2	ADP-ribosylhydrolase like 2	4		DNA repair			ISO	Q9NX46 	J:164563 	
MGI:2384034	Alkbh1	alkB homolog 1, histone H2A dioxygenase	12		DNA dealkylation involved in DNA repair			ISO	Q13686 	J:164563 	
MGI:2384034	Alkbh1	alkB homolog 1, histone H2A dioxygenase	12		DNA repair			ISO	Q13686 	J:164563 	
MGI:2141032	Alkbh2	alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase	5		DNA dealkylation involved in DNA repair			IBA	PTN001268734 	J:265628 	
MGI:2141032	Alkbh2	alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase	5		DNA dealkylation involved in DNA repair			ISO	Q6NS38 	J:164563 	
MGI:2141032	Alkbh2	alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase	5		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1916363	Alkbh3	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase	2		DNA dealkylation involved in DNA repair			ISO	Q96Q83 	J:164563 	
MGI:1916363	Alkbh3	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase	2		DNA repair			ISO	Q96Q83 	J:164563 	
MGI:1918775	Ankle1	ankyrin repeat and LEM domain containing 1	8	NOT	DNA repair			IMP		J:235782 	
MGI:1916846	Ap5s1	adaptor-related protein 5 complex, sigma 1 subunit	2		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1916846	Ap5s1	adaptor-related protein 5 complex, sigma 1 subunit	2		double-strand break repair via homologous recombination			ISO	Q9NUS5 	J:164563 	
MGI:1924908	Ap5z1	adaptor-related protein complex 5, zeta 1 subunit	5		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1924908	Ap5z1	adaptor-related protein complex 5, zeta 1 subunit	5		double-strand break repair via homologous recombination			ISO	O43299 	J:164563 	
MGI:107765	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	7		double-strand break repair			IMP		J:118164 	
MGI:107765	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	7		double-strand break repair			ISO	RGD:2122 	J:155856 	
MGI:107765	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	7		positive regulation of DNA repair			IMP		J:118164 	
MGI:107765	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	7		positive regulation of DNA repair			ISO	RGD:2122 	J:155856 	
MGI:88042	Apex1	apurinic/apyrimidinic endonuclease 1	14		base-excision repair			IBA	PTN000507731 	J:265628 	
MGI:88042	Apex1	apurinic/apyrimidinic endonuclease 1	14		base-excision repair			ISO	P27695 	J:164563 	
MGI:88042	Apex1	apurinic/apyrimidinic endonuclease 1	14		DNA repair			ISO	P27695 	J:164563 	
MGI:88042	Apex1	apurinic/apyrimidinic endonuclease 1	14		telomere maintenance via base-excision repair			ISO	P27695 	J:164563 	
MGI:1924872	Apex2	apurinic/apyrimidinic endonuclease 2	X		base-excision repair			IBA	PTN000507731 	J:265628 	
MGI:1924872	Apex2	apurinic/apyrimidinic endonuclease 2	X		DNA repair			IEA	IPR004808 IPR020847 	J:72247 	
MGI:1924872	Apex2	apurinic/apyrimidinic endonuclease 2	X		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1919353	Aplf	aprataxin and PNKP like factor	6		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1919353	Aplf	aprataxin and PNKP like factor	6		double-strand break repair			IBA	PTN001084268 	J:265628 	
MGI:1919353	Aplf	aprataxin and PNKP like factor	6		double-strand break repair			IMP	MGI:4128102 	J:168260 	
MGI:1919353	Aplf	aprataxin and PNKP like factor	6		double-strand break repair			ISO	Q8IW19 	J:164563 	
MGI:1919353	Aplf	aprataxin and PNKP like factor	6		single strand break repair			ISO	Q8IW19 	J:164563 	
MGI:1913658	Aptx	aprataxin	4		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1913658	Aptx	aprataxin	4		double-strand break repair			IBA	PTN000281062 	J:265628 	
MGI:1913658	Aptx	aprataxin	4		double-strand break repair			ISO	Q7Z2E3 	J:164563 	
MGI:1913658	Aptx	aprataxin	4		single strand break repair			IBA	PTN000281062 	J:265628 	
MGI:1913658	Aptx	aprataxin	4		single strand break repair			IMP		J:113297 	
MGI:1913658	Aptx	aprataxin	4		single strand break repair			ISO	Q7Z2E3 	J:164563 	
MGI:1924294	Arid2	AT rich interactive domain 2 (ARID, RFX-like)	15		positive regulation of double-strand break repair via homologous recombination			ISO	Q68CP9 	J:164563 	
MGI:1916340	Ascc1	activating signal cointegrator 1 complex subunit 1	10		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1922702	Ascc2	activating signal cointegrator 1 complex subunit 2	11		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1925237	Ascc3	activating signal cointegrator 1 complex subunit 3	10		DNA dealkylation involved in DNA repair			ISO	Q8N3C0 	J:164563 	
MGI:1925237	Ascc3	activating signal cointegrator 1 complex subunit 3	10		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1913653	Asf1a	anti-silencing function 1A histone chaperone	10		DNA repair			ISO	Q9Y294 	J:73065 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		DNA repair			IDA		J:92518 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		DNA repair			IMP	MGI:1857132 	J:73636 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		DNA repair			IMP	MGI:2155399 	J:94088 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		double-strand break repair via homologous recombination			IMP	MGI:1857132 	J:146070 	
MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9		DNA repair			IDA		J:92518 	
MGI:1925349	Atrip	ATR interacting protein	9		DNA repair			IBA	PTN002408403 	J:265628 	
MGI:103067	Atrx	ATRX, chromatin remodeler	X		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1917135	Aunip	aurora kinase A and ninein interacting protein	4		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1917135	Aunip	aurora kinase A and ninein interacting protein	4		double-strand break repair via homologous recombination			ISO	Q9H7T9 	J:164563 	
MGI:1917135	Aunip	aurora kinase A and ninein interacting protein	4		negative regulation of double-strand break repair via nonhomologous end joining			ISO	Q9H7T9 	J:164563 	
MGI:1270862	Axin2	axin 2	11		regulation of mismatch repair			ISO	Q9Y2T1 	J:164563 	
MGI:1915501	Babam1	BRISC and BRCA1 A complex member 1	8		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1915501	Babam1	BRISC and BRCA1 A complex member 1	8		double-strand break repair			ISO	Q9NWV8 	J:164563 	
MGI:1915501	Babam1	BRISC and BRCA1 A complex member 1	8		positive regulation of DNA repair			ISO	Q9NWV8 	J:164563 	
MGI:1333875	Babam2	BRISC and BRCA1 A complex member 2	5		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1333875	Babam2	BRISC and BRCA1 A complex member 2	5		double-strand break repair			ISO	Q9NXR7 	J:164563 	
MGI:1333875	Babam2	BRISC and BRCA1 A complex member 2	5		positive regulation of DNA repair			ISO	Q9NXR7 	J:164563 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA repair			ISO	O14867 	J:164563 	
MGI:1328361	Bard1	BRCA1 associated RING domain 1	1		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1913415	Bccip	BRCA2 and CDKN1A interacting protein	7		DNA repair			IEA	KW-0234 	J:60000 	
MGI:2179809	Bivm	basic, immunoglobulin-like variable motif containing	1		nucleotide-excision repair, DNA incision, 3'-to lesion			IBA	PTN000792422 	J:265628 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		DNA double-strand break processing			ISO	P54132 	J:164563 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		DNA repair			IBA	PTN000344873 	J:265628 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		DNA repair			IDA		J:92518 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		double-strand break repair via homologous recombination			IBA	PTN000344874 	J:265628 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		positive regulation of double-strand break repair via homologous recombination			IGI	MGI:2448558 	J:223244 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		replication-born double-strand break repair via sister chromatid exchange			IMP		J:223224 	
MGI:2444804	Bod1l	biorientation of chromosomes in cell division 1-like	5		DNA repair			IEA	KW-0234 	J:60000 	
MGI:104537	Brca1	breast cancer 1, early onset	11		DNA repair			IEA	IPR011364 IPR031099 	J:72247 	
MGI:104537	Brca1	breast cancer 1, early onset	11		DNA repair			IEA	KW-0234 	J:60000 	
MGI:104537	Brca1	breast cancer 1, early onset	11		double-strand break repair			IMP		J:205643 	
MGI:104537	Brca1	breast cancer 1, early onset	11		double-strand break repair			ISO	P38398 	J:164563 	
MGI:104537	Brca1	breast cancer 1, early onset	11		double-strand break repair via homologous recombination			IBA	PTN000349139 	J:265628 	
MGI:104537	Brca1	breast cancer 1, early onset	11		double-strand break repair via homologous recombination			ISO	P38398 	J:164563 	
MGI:104537	Brca1	breast cancer 1, early onset	11		positive regulation of DNA repair			ISO	P38398 	J:164563 	
MGI:104537	Brca1	breast cancer 1, early onset	11		postreplication repair			ISO	P38398 	J:164563 	
MGI:109337	Brca2	breast cancer 2, early onset	5		DNA repair			IEA	IPR015525 	J:72247 	
MGI:109337	Brca2	breast cancer 2, early onset	5		DNA repair			IEA	KW-0234 	J:60000 	
MGI:109337	Brca2	breast cancer 2, early onset	5		double-strand break repair			IMP	MGI:2156556 MGI:2176173 	J:122559 	
MGI:109337	Brca2	breast cancer 2, early onset	5		double-strand break repair			IMP	MGI:2177226 	J:44386 	
MGI:109337	Brca2	breast cancer 2, early onset	5		double-strand break repair			ISO	P51587 	J:164563 	
MGI:109337	Brca2	breast cancer 2, early onset	5		double-strand break repair via homologous recombination			IBA	PTN000139030 	J:265628 	
MGI:109337	Brca2	breast cancer 2, early onset	5		double-strand break repair via homologous recombination			IMP	MGI:2653913 MGI:2653914 	J:94149 	
MGI:109337	Brca2	breast cancer 2, early onset	5		double-strand break repair via homologous recombination			ISO	P51587 	J:164563 	
MGI:109337	Brca2	breast cancer 2, early onset	5		nucleotide-excision repair			ISO	P51587 	J:164563 	
MGI:2389572	Brcc3	BRCA1/BRCA2-containing complex, subunit 3	X		DNA repair			IBA	PTN000045567 	J:265628 	
MGI:2389572	Brcc3	BRCA1/BRCA2-containing complex, subunit 3	X		double-strand break repair			IBA	PTN000045567 	J:265628 	
MGI:2389572	Brcc3	BRCA1/BRCA2-containing complex, subunit 3	X		double-strand break repair			ISO	P46736 	J:164563 	
MGI:2389572	Brcc3	BRCA1/BRCA2-containing complex, subunit 3	X		positive regulation of DNA repair			ISO	P46736 	J:164563 	
MGI:2442836	Brip1	BRCA1 interacting protein C-terminal helicase 1	11		DNA repair			IEA	KW-0234 	J:60000 	
MGI:2442836	Brip1	BRCA1 interacting protein C-terminal helicase 1	11		double-strand break repair involved in meiotic recombination			IBA	PTN000158307 	J:265628 	
MGI:2442836	Brip1	BRCA1 interacting protein C-terminal helicase 1	11		double-strand break repair involved in meiotic recombination			IMP	MGI:4129733 	J:227337 	
MGI:2442836	Brip1	BRCA1 interacting protein C-terminal helicase 1	11		meiotic DNA double-strand break processing involved in reciprocal meiotic recombination			IMP	MGI:4129733 	J:227337 	
MGI:2442836	Brip1	BRCA1 interacting protein C-terminal helicase 1	11		nucleotide-excision repair			IBA	PTN000158307 	J:265628 	
MGI:1353589	Cbx8	chromobox 8	11		positive regulation of DNA repair			ISO	RGD:1565375 	J:155856 	
MGI:2687329	Ccdc155	coiled-coil domain containing 155	7		double-strand break repair via homologous recombination	happens in spermatocyte		IMP		J:201813 	
MGI:1918952	Cdc5l	cell division cycle 5-like (S. pombe)	17		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1309511	Cdc7	cell division cycle 7 (S. cerevisiae)	5		double-strand break repair via break-induced replication			IBA	PTN000747050 	J:265628 	
MGI:2441808	Cdc14b	CDC14 cell division cycle 14B	13		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1338073	Cdc45	cell division cycle 45	16		double-strand break repair via break-induced replication			IBA	PTN000053416 	J:265628 	
MGI:1915099	Cdca5	cell division cycle associated 5	19		double-strand break repair			IBA	PTN001579030 	J:265628 	
MGI:1915099	Cdca5	cell division cycle associated 5	19		double-strand break repair			ISO	Q96FF9 	J:164563 	
MGI:104772	Cdk2	cyclin-dependent kinase 2	10		DNA repair			IEA	KW-0234 	J:60000 	
MGI:102956	Cdk7	cyclin-dependent kinase 7	13		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1328368	Cdk9	cyclin-dependent kinase 9 (CDC2-related kinase)	2		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1328368	Cdk9	cyclin-dependent kinase 9 (CDC2-related kinase)	2		regulation of DNA repair			ISO	P50750 	J:164563 	
MGI:105387	Cdkn2d	cyclin dependent kinase inhibitor 2D	9		DNA synthesis involved in DNA repair			ISO	P55273 	J:164563 	
MGI:104982	Cebpg	CCAAT/enhancer binding protein (C/EBP), gamma	7		positive regulation of DNA repair			ISS	P53567 	J:114814 	
MGI:1917178	Cenps	centromere protein S	4		DNA repair			IEA	IPR033554 	J:72247 	
MGI:1917178	Cenps	centromere protein S	4		DNA repair			IEA	KW-0234 	J:60000 	
MGI:894324	Cenpx	centromere protein X	11		DNA repair			IEA	IPR018552 	J:72247 	
MGI:894324	Cenpx	centromere protein X	11		DNA repair			IEA	KW-0234 	J:60000 	
MGI:2384878	Cep164	centrosomal protein 164	9		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1347086	Cetn1	centrin 1	18		nucleotide-excision repair			IBA	PTN002746217 	J:265628 	
MGI:1347085	Cetn2	centrin 2	X		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1347085	Cetn2	centrin 2	X		nucleotide-excision repair			IBA	PTN002746217 	J:265628 	
MGI:1347085	Cetn2	centrin 2	X		nucleotide-excision repair			ISO	P41208 	J:164563 	
MGI:2677454	Cetn4	centrin 4	3		nucleotide-excision repair			IBA	PTN002746217 	J:265628 	
MGI:2442261	Cgas	cyclic GMP-AMP synthase	9		DNA repair			IEA	KW-0234 	J:60000 	
MGI:2442261	Cgas	cyclic GMP-AMP synthase	9		negative regulation of double-strand break repair via homologous recombination			IBA	PTN002579681 	J:265628 	
MGI:2442261	Cgas	cyclic GMP-AMP synthase	9		negative regulation of double-strand break repair via homologous recombination			IMP		J:267189 	
MGI:2442261	Cgas	cyclic GMP-AMP synthase	9		negative regulation of double-strand break repair via homologous recombination			ISO	Q8N884 	J:164563 	
MGI:1351331	Chaf1a	chromatin assembly factor 1, subunit A (p150)	17		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1314881	Chaf1b	chromatin assembly factor 1, subunit B (p60)	16		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1919420	Chchd4	coiled-coil-helix-coiled-coil-helix domain containing 4	6		mitochondrial DNA repair			IDA		J:201969 	
MGI:1915308	Chd1l	chromodomain helicase DNA binding protein 1-like	3		DNA repair			IEA	IPR031053 	J:72247 	
MGI:1915308	Chd1l	chromodomain helicase DNA binding protein 1-like	3		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1202065	Chek1	checkpoint kinase 1	9		DNA repair			IDA		J:92518 	
MGI:1202065	Chek1	checkpoint kinase 1	9		DNA repair			ISO	O14757 	J:164563 	
MGI:1202065	Chek1	checkpoint kinase 1	9		regulation of double-strand break repair via homologous recombination			ISO	O14757 	J:164563 	
MGI:1355321	Chek2	checkpoint kinase 2	5		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1355321	Chek2	checkpoint kinase 2	5		double-strand break repair			ISO	O96017 	J:164563 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		DNA repair			ISO	P43681 	J:164563 	
MGI:1914486	Cinp	cyclin-dependent kinase 2 interacting protein	12		DNA repair			IEA	KW-0234 	J:60000 	
MGI:2445153	Clspn	claspin	4		DNA repair			IEA	KW-0234 	J:60000 	
MGI:109474	Commd1	COMM domain containing 1	11		nucleotide-excision repair			ISO	Q8N668 	J:164563 	
MGI:1914487	Cul4a	cullin 4A	8		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1914487	Cul4a	cullin 4A	8		regulation of nucleotide-excision repair	regulates a function/process that happens in fibroblast		IMP	MGI:3851025 	J:150427 	
MGI:1919834	Cul4b	cullin 4B	X		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1919834	Cul4b	cullin 4B	X		UV-damage excision repair			ISO	Q13620 	J:164563 	
MGI:1925662	Cyren	cell cycle regulator of NHEJ	6		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1925662	Cyren	cell cycle regulator of NHEJ	6		double-strand break repair via nonhomologous end joining			IBA	PTN000377718 	J:265628 	
MGI:1925662	Cyren	cell cycle regulator of NHEJ	6		double-strand break repair via nonhomologous end joining			ISO	Q9BWK5 	J:164563 	
MGI:1925662	Cyren	cell cycle regulator of NHEJ	6		negative regulation of double-strand break repair via nonhomologous end joining			ISO	Q9BWK5 	J:164563 	
MGI:1930042	Dclre1a	DNA cross-link repair 1A	19		DNA repair			IEA	KW-0234 	J:60000 	
MGI:1930042	Dclre1a	DNA cross-link repair 1A	19		double-strand break repair via nonhomologous end joining			IBA	PTN000581728 	J:265628 	
MGI:1930042	Dclre1a	DNA cross-link repair 1A	19		interstrand cross-link repair			IBA	PTN000581728 	J:265628 	
MGI:1930042	Dclre1a	DNA cross-link repair 1A	19		nucleotide-excision repair			IMP	MGI:2180947 	J:62832 	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	3		DNA repair			IEA	KW-0234 	J:60000 	
